issuekey,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,ProgressTime,RemainingDay,topic_10,topic_100,topic_200,topic_300,topic_400
MTAJZR-10,108,"2005-11-09 00:00:00",Task,0,0,0,0,Minor,0,0,0,0,0,0,0,1,0,0,0,2,4,75,170,1,382
MTAJZR-11,3,"2005-11-09 00:00:00",Task,0,0,0,0,Minor,0,0,0,0,0,0,0,1,0,0,0,2,4,75,170,1,382
MTAJZR-12,108,"2005-11-09 00:00:00",Task,0,0,0,0,Minor,0,0,0,0,0,0,0,1,0,0,0,2,2,75,170,1,382
MTAJZR-13,108,"2005-11-09 00:00:00",Task,0,0,0,0,Minor,0,0,0,0,0,0,0,1,0,0,0,2,2,75,170,1,382
MTAJZR-14,108,"2005-11-09 00:00:00",Task,0,0,0,0,Minor,0,0,0,0,0,0,0,1,0,0,0,2,4,75,170,1,382
JBWS-514,0,"2005-11-17 00:00:00",Task,0,0,0,0,Major,0,0,1,0,2,0,1,0,0.38823529411764707,0,0,441,10,79,34,120,187
JBNET-326,130,"2005-12-02 00:00:00",Task,0,0,0,0,Major,0,0,0,0,0,0,0,0,0.5833333333333334,0,0,28,1,52,156,27,241
JBPM-458,173,"2005-12-07 00:00:00",Task,0,0,0,0,Major,0,0,0,0,0,0,0,0,0.6818181818181818,0,0,55,7,74,152,290,156
JBWS-567,0,"2005-12-19 00:00:00",Task,0,0,0,0,Critical,0,0,1,0,21,0,21,0,0.38202247191011235,0,0,43,4,83,134,181,341
JBAS-2580,81,"2005-12-20 00:00:00","Feature Request",0,0,0,0,Major,0,0,1,0,2,2,0,1,0.3333333333333333,0,0,24,9,91,160,295,314
JBCACHE-379,44,"2005-12-23 00:00:00",SubTask,0,0,0,0,Major,0,0,1,0,0,0,0,0,0,0,0,23,9,77,82,235,136
JBCACHE-380,35,"2005-12-23 00:00:00",SubTask,0,0,0,0,Major,0,0,1,0,0,0,0,0,0,0,0,39,9,77,67,235,132
JBCACHE-381,1,"2005-12-23 00:00:00",SubTask,0,0,0,0,Major,0,0,1,0,0,0,0,0,0,0,0,87,9,45,67,196,23
JBTM-2,3,"2006-01-03 00:00:00",Release,0,0,0,0,Major,0,0,1,0,2,0,2,0,0,0,0,87,5,62,68,276,398
JBTM-3,83,"2006-01-03 00:00:00",SubTask,0,0,0,0,Major,0,0,1,0,0,0,0,0,0,0,0,7,9,65,152,239,347
JBTM-4,73,"2006-01-03 00:00:00",SubTask,0,0,0,0,Major,0,0,1,0,0,0,0,0,0,0,0,14,4,17,133,177,238
JBTM-5,3,"2006-01-03 00:00:00",Release,0,0,0,0,Major,0,0,1,0,2,0,2,0,0,0,0,87,7,79,112,246,184
JBTM-8,74,"2006-01-03 00:00:00",SubTask,0,0,0,0,Major,0,0,1,0,0,0,0,0,0,0,0,16,7,65,152,225,93
JBTM-9,62,"2006-01-03 00:00:00",SubTask,0,0,0,0,Major,0,0,1,0,0,0,0,0,0,0,0,28,2,65,152,239,114
JBTM-10,57,"2006-01-03 00:00:00",SubTask,0,0,0,0,Major,0,0,1,0,0,0,0,0,0,0,0,13,10,91,129,194,367
JBTM-13,0,"2006-01-03 00:00:00",Task,0,0,0,0,Major,0,0,0,0,0,0,0,0,0,0,0,1,5,87,163,246,194
JBTM-15,0,"2006-01-03 00:00:00",SubTask,0,0,0,0,Major,0,0,1,0,0,0,0,0,0,0,0,178,4,70,163,246,322
JBESB-4,48,"2006-01-04 00:00:00",Task,0,0,0,0,Major,0,0,0,0,0,0,0,0,0.5,0,0,27,7,89,197,98,395
