issuekey,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,ProgressTime,RemainingDay,topic_10,topic_100,topic_200,topic_300,topic_400
FCREPO-541,147,"2009-05-17 00:00:00",Bug,0,1,19,6,Trivial,0,0,1,0,0,0,0,2,0.39361702127659576,0,0,1,9,79,198,226,387
FCREPO-537,191,"2009-05-17 00:00:00",Bug,0,1,11,1,Blocker,0,0,1,0,0,0,0,1,0,0,0,1,4,86,58,207,126
FCREPO-536,184,"2009-05-17 00:00:00",Story,0,1,19,6,Minor,0,0,1,0,0,0,0,0,0.2,0,0,1,1,30,87,133,217
FCREPO-535,151,"2009-05-17 00:00:00",Bug,0,1,0,0,Major,0,0,1,0,2,0,1,3,0.4065934065934066,0,0,1,8,61,133,20,175
FCREPO-533,169,"2009-05-17 00:00:00",Story,0,1,25,4,Minor,0,0,1,0,0,0,0,0,0,0,0,1,9,94,196,132,396
FCREPO-532,185,"2009-05-17 00:00:00",Story,0,1,19,6,Major,0,0,1,0,2,1,0,0,0.4,0,0,1,8,61,133,299,358
FCREPO-530,167,"2009-05-17 00:00:00",Bug,0,1,50,2,Major,0,0,1,0,0,0,0,3,0.5,0,0,1,9,29,65,264,7
FCREPO-526,102,"2009-05-17 00:00:00",Bug,0,1,14,5,Minor,0,0,1,0,1,0,0,2,0.25,0,0,1,4,99,119,240,240
FCREPO-522,185,"2009-05-17 00:00:00",Bug,0,1,19,6,Major,0,0,1,0,1,0,0,1,0,0,0,1,3,100,118,262,260
FCREPO-518,95,"2009-05-17 00:00:00",Story,0,1,50,2,Minor,0,0,1,0,0,0,0,0,0,0,0,1,4,92,35,125,7
FCREPO-516,214,"2009-05-17 00:00:00",Bug,0,1,18,4,Minor,0,0,1,0,0,0,0,2,0,0,0,1,9,9,77,262,252
FCREPO-514,189,"2009-05-17 00:00:00",Bug,0,1,19,6,Minor,0,0,1,0,0,0,0,1,0,0,0,1,9,98,153,281,396
FCREPO-506,186,"2009-05-17 00:00:00",Bug,0,1,50,1,Major,0,0,1,0,1,0,0,1,0,0,0,1,9,88,81,89,328
FCREPO-505,196,"2009-05-17 00:00:00",Story,0,1,0,0,Minor,0,0,1,0,0,0,0,0,0,0,0,1,9,89,147,68,290
FCREPO-503,155,"2009-05-17 00:00:00",Story,0,1,14,5,Minor,0,0,1,0,0,0,0,0,0,0,0,1,5,44,87,248,345
FCREPO-497,191,"2009-05-17 00:00:00",Story,0,1,50,2,Minor,0,0,1,0,1,0,0,0,0,0,0,1,8,83,175,289,150
FCREPO-494,184,"2009-05-17 00:00:00",Bug,0,1,19,6,Blocker,0,0,1,0,0,0,0,2,0,0,0,1,10,58,22,297,29
FCREPO-490,190,"2009-05-18 00:00:00",Bug,0,1,34,21,Minor,0,0,1,0,0,0,0,1,0,0,0,0,1,82,100,244,109
DS-228,0,"2009-06-12 00:00:00",NewFeature,5,1,0,0,Major,10,0,1,1,2,1,0,0,0,1,14,249,1,81,176,238,103
FCREPO-510,0,"2009-06-25 00:00:00",Bug,1,0,5,0,Critical,6,0,1,1,0,0,0,2,0,0,1,3,8,61,133,299,234
DS-241,197,"2009-06-30 00:00:00",Improvement,0,1,66,0,Minor,0,0,1,0,0,0,0,1,0.75,0,0,1,5,39,159,269,276
DS-243,85,"2009-07-03 00:00:00",Improvement,0,1,75,1,Major,0,0,1,0,1,1,0,1,0.8,0,4,3,1,95,190,74,362
ISLANDORA-45,88,"2009-07-06 00:00:00",NewFeature,0,1,50,1,Minor,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,3,9,96,196,3,165
DS-247,15,"2009-07-07 00:00:00",NewFeature,0,0,80,2,Major,2,0,1,1,4,1,2,0,0.8333333333333334,1,0,238,3,99,169,43,338
DS-251,87,"2009-07-09 00:00:00",SubTask,0,1,0,0,Major,0,0,1,0,0,0,0,0,0,0,10,6,5,100,111,85,294
DS-261,0,"2009-07-18 00:00:00",Improvement,7,0,0,1,Major,3,0,1,0,2,1,0,1,0,0,19,4,1,64,176,46,255
DS-270,37,"2009-08-01 00:00:00",Improvement,50,2,0,0,Major,0,0,1,0,1,0,0,0,0.6666666666666666,0,50,1,2,7,138,124,314
DS-299,0,"2009-09-02 00:00:00",Improvement,0,0,0,0,Minor,0,0,1,0,0,0,0,3,0.75,0,0,1,2,42,12,298,378
DS-303,0,"2009-09-09 00:00:00",Bug,2,0,0,0,Minor,1,0,1,0,0,0,0,1,0.6,0,6,2,9,96,109,297,257
FCREPO-531,0,"2009-09-18 00:00:00",Story,0,0,50,6,Major,2,0,1,2,1,0,0,0,0,0,235,101,8,65,191,288,145
DS-317,0,"2009-09-21 00:00:00",NewFeature,0,0,100,1,Major,2,0,1,0,2,0,0,0,0.6666666666666666,0,10,152,5,43,171,141,333
FCREPO-540,13,"2009-10-09 00:00:00",Bug,0,0,30,13,Major,1,0,1,0,1,0,0,0,0.8717948717948718,0,0,1033,1,61,133,20,175
FCREPO-565,0,"2009-10-28 00:00:00",Story,0,0,0,0,Minor,0,0,1,0,2,0,1,0,0.3939393939393939,1,97,199,8,61,133,299,234
